,Unnamed: 0,name,position,domain,years_exp,contact,tags
10,10,Baczenski,technician,production,4,2858350849,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici
11,11,Barbara,technician,production,3,7110266727,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey barbossa domain work data analyst analyz data provid insight support process hey barbossa domain work data analyst analyz data provid insight support process
12,12,Barbossa,data analyst,it/is,4,4210202103,data analysi sql data visu excel statist data clean data interpret report problem solv critic think quantit analysi data manipul dashboard cr busi analysi data min data model python r tableau data valid hi baron within product domain role technician involv maintain troubleshoot product equip hi baron within product domain role technician involv maintain troubleshoot product equip
13,13,Barone,technician,production,4,6144381962,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello barton product domain work technician respons mainten repair product equip hello barton product domain work technician respons mainten repair product equip
14,14,Barton,technician,production,5,2880445261,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey bate within product domain play vital role technician ensur smooth oper machineri hey bate within product domain play vital role technician ensur smooth oper machineri
15,15,Bates,technician,production,4,5104516273,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi beak within product domain special data scientist analyz product data drive insight improv hi beak within product domain special data scientist analyz product data drive insight improv
16,16,Beak,datascientist,production,3,2349629796,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici
17,17,Beatrice,technician,production,5,6513824928,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey becker domain serv databas administr manag maintain databas ensur data integr hey becker domain serv databas administr manag maintain databas ensur data integr
18,18,Becker,database administrator,it/is,4,8582569966,databas manag sql databas design databas tun backup recoveri data integr data secur perform monitor queri optim databas administr tool data model troubleshoot high avail data migr nosql etl relat databa mysql oracl microsoft sql serv hi bernstein within product domain work technician respons mainten repair product equip hi bernstein within product domain work technician respons mainten repair product equip
19,19,Becker,technician,production,4,4288548215,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello biden within product domain work technician ensur smooth oper machineri mainten repair hello biden within product domain work technician ensur smooth oper machineri mainten repair
20,20,Bernstein,technician,production,3,3540284892,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey billi product domain work technician respons maintain troubleshoot product equip hey billi product domain work technician respons maintain troubleshoot product equip
21,21,Biden,technician,production,3,2805251664,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi blount within product domain special data scientist analyz product data uncov insight improv hi blount within product domain special data scientist analyz product data uncov insight improv
22,22,Billis,technician,production,3,7104073231,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello bondwel product domain special data scientist analyz product data drive insight improv hello bondwel product domain special data scientist analyz product data drive insight improv
23,23,Blount,datascientist,production,3,3453881877,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey booth domain work enterpris architect design implement system meet busi object hey booth domain work enterpris architect design implement system meet busi object
24,24,Bondwell,datascientist,production,5,2417139813,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi boutwel admin offic domain work senior account handl financi task ensur accur financi report hi boutwel admin offic domain work senior account handl financi task ensur accur financi report
25,25,Booth,enterprise architect,it/is,5,8402530509,enterpris architectur architectur strateg plan busi align govern technolog roadmap digit transform cloud comput standard solut architectur applic architectur data architectur infrastructur architectur secur architectur integr architectur enterpris integr togaf busi process model enterpris system technic leadership hello bozzi within product domain serv product manag overse product oper ensur effici qualiti hello bozzi within product domain serv product manag overse product oper ensur effici qualiti
26,26,Boutwell,sr. accountant,admin offices,4,9862004217,account financ financi report audit taxat budget financi analysi gaap financi stat account reconcili cpa excel account softwar cash flow analysi forecast cost account intern control vat ifr hey brill within product domain work technician focus maintain repair product equip hey brill within product domain work technician focus maintain repair product equip
27,27,Bozzi,production manager,production,3,3348102206,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen hi brown admin offic domain work account respons financi task maintain accur financi record hi brown admin offic domain work account respons financi task maintain accur financi record
28,28,Brill,technician,production,4,2958466500,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi buccheri within product domain special data scientist leverag data analysi techniqu improv product process hi buccheri within product domain special data scientist leverag data analysi techniqu improv product process
29,29,Brown,accountant i,admin offices,2,9135271406,account financ financi report bookkeep audit taxat budget payrol financi analysi account reconcili gaap excel quickbook cpa financi stat account pay account receiv cash flow incom stat balanc sheet hello bugali product domain work technician focus maintain repair product equip hello bugali product domain work technician focus maintain repair product equip
30,30,Buccheri,datascientist,production,3,5745194226,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey bunburi within sale domain contribut devop engin ensur smooth integr deploy softwar hey bunburi within sale domain contribut devop engin ensur smooth integr deploy softwar
31,31,Bugali,technician,production,5,8352984360,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi burk within product domain special data scientist analyz product data uncov insight optim process hi burk within product domain special data scientist analyz product data uncov insight optim process
32,32,Bunbury,devops,sales,5,6742302888,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hello burkett product domain focu data scienc analyz product data drive insight improv hello burkett product domain focu data scienc analyz product data drive insight improv
33,33,Burke,datascientist,production,4,4357796867,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey cadi softwar engin manag softwar engin domain lead team engin develop maintain softwar solut hey cadi softwar engin manag softwar engin domain lead team engin develop maintain softwar solut
34,34,Burkett,datascientist,production,5,3233374645,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi candi within product domain serv product manag overse coordin product oper ensur effici qualiti hi candi within product domain serv product manag overse coordin product oper ensur effici qualiti
35,35,Cady,software engineering manager,software engineering,3,6219008652,softwar develop team manag leadership project manag softwar architectur agil methodolog budget manag perform manag problem solv technic leadership softwar design collabor continu integr continu deploy code review releas manag product develop scrum kanban commun skil hello carabbio softwar engin softwar engin domain develop maintain softwar solut meet busi need hello carabbio softwar engin softwar engin domain develop maintain softwar solut meet busi need
36,36,Candie,production manager,production,3,2596002130,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen hey carey product domain work technician respons maintain troubleshoot product equip hey carey product domain work technician respons maintain troubleshoot product equip
37,37,Carabbio,software engineer,software engineering,4,8788973390,softwar develop program algorithm program python java web develop databas manag softwar design agil methodolog test debug version control softwar architectur problem solv data structur cloud comput rest api git hi carr domain work senior dba manag optim databas ensur effici data manag hi carr domain work senior dba manag optim databas ensur effici data manag
38,38,Carey,technician,production,3,5015023572,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello carter within sale domain contribut devop engin focus develop mainten softwar hello carter within sale domain contribut devop engin focus develop mainten softwar
39,39,Carr,sr. dba,it/is,5,4480804405,databas administr sql databas manag perform tun backup recoveri data integr troubleshoot high avail databas design nosql etl data model data wareh relat databa mysql oracl microsoft sql serv databas secur data migr queri optim hey chace within product domain work technician focus maintain repair product equip hey chace within product domain work technician focus maintain repair product equip
40,40,Carter,devops,sales,5,9627919282,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hi champaign domain serv bi director lead busi intellig effort drive hi champaign domain serv bi director lead busi intellig effort drive
41,41,Chace,technician,production,4,1885304828,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello chan within product domain special technician ensur smooth oper product equip hello chan within product domain special technician ensur smooth oper product equip
42,42,Champaigne,bi director,it/is,5,7318961922,busi intellig leadership strateg plan busi strategi data analyt team manag budget manag project manag decis mak busi develop stakehold manag data govern execut report busi acumen commun skil problem solv collabor chang manag decis support kpi hey chang product domain work technician respons maintain troubleshoot product equip hey chang product domain work technician respons maintain troubleshoot product equip
43,43,Chan,technician,production,4,8935335611,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi chigurh within sale domain contribut devop engin focus develop mainten softwar hi chigurh within sale domain contribut devop engin focus develop mainten softwar
44,44,Chang,technician,production,5,2977586559,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello chivukula within product domain work technician focus maintain repair product equip hello chivukula within product domain work technician focus maintain repair product equip
45,45,Chigurh,devops,sales,5,7108331980,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hey cierpiszewski product domain special technician ensur proper function product equip hey cierpiszewski product domain special technician ensur proper function product equip
46,46,Chivukula,technician,production,4,8664536381,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi clayton domain provid support user ensur smooth oper resolv technic issu hi clayton domain provid support user ensur smooth oper resolv technic issu
47,47,Cierpiszewski,technician,production,5,7601776019,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello cloning within product domain special data scientist leverag data analysi optim product process hello cloning within product domain special data scientist leverag data analysi optim product process
48,48,Clayton,it support,it/is,3,1715808794,support technic support troubleshoot helpdesk support instal network troubleshoot support custom servic ticket system remot support problem solv softwar upd system mainten comput repair user train itil incid manag knowledg ba polici asset manag hey close within product domain special data scientist analyz product data drive insight improv hey close within product domain special data scientist analyz product data drive insight improv
49,49,Cloninger,datascientist,production,5,3792253826,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi clukey within product domain work technician focus maintain repair product equip hi clukey within product domain work technician focus maintain repair product equip
50,50,Close,datascientist,production,4,1381340220,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello cockel within product domain work technician respons ensur smooth oper product equip hello cockel within product domain work technician respons ensur smooth oper product equip
51,51,Clukey,technician,production,4,7839599345,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey cole within product domain special technician focus maintain repair product equip hey cole within product domain special technician focus maintain repair product equip
52,52,Cockel,technician,production,5,8064766187,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello corleon within product domain serv director oper overse aspect product activ hello corleon within product domain serv director oper overse aspect product activ
53,53,Cole,technician,production,3,3905392655,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey cornett within product domain work technician respons maintain troubleshoot product equip hey cornett within product domain work technician respons maintain troubleshoot product equip
54,54,Corleone,production manager,production,2,4222810038,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen hi costello domain work data analyst analyz data provid insight support process hi costello domain work data analyst analyz data provid insight support process
55,55,Corleone,director of operations,production,5,6482991026,oper manag leadership strateg plan team manag process improv budget manag project manag collabor perform metr risk manag chang manag suppli chain manag logist inventori manag qualiti control lean manufactur six sigma continu improv decis mak busi acumen hello crim within product domain work technician focus maintain repair product equip hello crim within product domain work technician focus maintain repair product equip
56,56,Cornett,technician,production,5,1799399674,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey cross domain work senior network engin design maintain network infrastructur ensur reliabl perform hey cross domain work senior network engin design maintain network infrastructur ensur reliabl perform
57,57,Costello,data analyst,it/is,3,8335477558,data analysi sql data visu excel statist data clean data interpret report problem solv critic think quantit analysi data manipul dashboard cr busi analysi data min data model python r tableau data valid hi daneault sale domain hold posit sale manag lead manag sale team achiev target drive revenu growth hi daneault sale domain hold posit sale manag lead manag sale team achiev target drive revenu growth
58,58,Crimmings,technician,production,5,3974717602,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello daniel within domain work senior network engin respons design implement maintain network infrastructur ensur reliabl connect hello daniel within domain work senior network engin respons design implement maintain network infrastructur ensur reliabl connect
59,59,Cross,sr. network engineer,it/is,3,5199514715,network engin network design rout switch firew network secur cisco junip dn dhcp vpn wireless network network troubleshoot network monitor network protocol load balanc ipv4 ipv6 ccnp ccie hey darson within product domain special technician focus mainten repair product equip hey darson within product domain special technician focus mainten repair product equip
60,60,Daneault,sales manager,sales,4,6288299834,sale manag sale strategi team manag busi develop sale forecast client relationship manag territori manag negoti sale train perform manag custom acquisit market analysi competit analysi custom satisfact key account manag pipelin manag budget manag crm coach leadership hi davi product domain special data scientist util data analysi techniqu deriv insight improv product process hi davi product domain special data scientist util data analysi techniqu deriv insight improv product process
61,61,Daniele,sr. network engineer,it/is,5,6190828168,network engin network design rout switch firew network secur cisco junip dn dhcp vpn wireless network network troubleshoot network monitor network protocol load balanc ipv4 ipv6 ccnp ccie hello dee within product domain work technician respons mainten troubleshoot product equip hello dee within product domain work technician respons mainten troubleshoot product equip
62,62,Darson,technician,production,3,5797955238,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey degweck product domain special technician ensur proper function product equip hey degweck product domain special technician ensur proper function product equip
63,63,Davis,datascientist,production,4,4651814906,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi del bosqu softwar engin softwar engin domain develop maintain softwar solut meet busi need hi del bosqu softwar engin softwar engin domain develop maintain softwar solut meet busi need
64,64,Dee,technician,production,4,9485383732,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello delarg within sale domain contribut devop engin focus develop mainten softwar hello delarg within sale domain contribut devop engin focus develop mainten softwar
65,65,DeGweck,technician,production,4,2590585808,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey demita product domain special data scientist analyz product data deriv insight drive improv hey demita product domain special data scientist analyz product data deriv insight drive improv
66,66,Del Bosque,software engineer,software engineering,5,1327981730,softwar develop program algorithm program python java web develop databas manag softwar design agil methodolog test debug version control softwar architectur problem solv data structur cloud comput rest api git hi desimon within product domain work technician focus maintain repair product equip hi desimon within product domain work technician focus maintain repair product equip
67,67,Delarge,devops,sales,3,6633537512,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hello devito domain work bi develop special develop busi intellig solut support process hello devito domain work bi develop special develop busi intellig solut support process
68,68,Demita,datascientist,production,5,3048710615,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey dickinson within product domain special technician respons mainten repair product equip hey dickinson within product domain special technician respons mainten repair product equip
69,69,Desimone,technician,production,2,6515825768,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi dietrich within sale domain contribut devop engin focus develop mainten softwar hi dietrich within sale domain contribut devop engin focus develop mainten softwar
70,70,DeVito,bi developer,it/is,5,2056081582,busi intellig etl data wareh sql data model report data visu dashboard develop etl tool data analysi databas manag data integr python r tableau busi analysi olap dimension model data min data architectur hello dinocco within product domain work technician respons mainten troubleshoot product equip hello dinocco within product domain work technician respons mainten troubleshoot product equip
71,71,Dickinson,technician,production,4,3327038543,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey dobrin product domain special technician ensur proper function product equip hey dobrin product domain special technician ensur proper function product equip
72,72,Dietrich,devops,sales,1,2894563851,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hi dolan domain provid support user ensur smooth oper resolv technic issu hi dolan domain provid support user ensur smooth oper resolv technic issu
73,73,DiNocco,technician,production,4,3250864903,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello dougal domain serv manag support overse manag support servic ensur effici oper hello dougal domain serv manag support overse manag support servic ensur effici oper
74,74,Dobrin,technician,production,5,5657538800,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey driver within sale domain contribut devop engin focus develop mainten softwar hey driver within sale domain contribut devop engin focus develop mainten softwar
75,75,Dolan,it support,it/is,4,7031717068,support technic support troubleshoot helpdesk support instal network troubleshoot support custom servic ticket system remot support problem solv softwar upd system mainten comput repair user train itil incid manag knowledg ba polici asset manag hi dunn within product domain serv product manag overse manag product oper ensur effici qualiti hi dunn within product domain serv product manag overse manag product oper ensur effici qualiti
76,76,Dougall,it manager - support,it/is,5,9144773429,support helpdesk manag technic support troubleshoot ticket system support instal remot support custom servic incid manag problem solv team manag servic level agr user train itil escal manag knowledg manag polici asset manag system upd hello dunn product domain special technician focus maintain repair product equip hello dunn product domain special technician focus maintain repair product equip
77,77,Driver,devops,sales,5,1759175143,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hey eaton within product domain work technician respons mainten troubleshoot product equip hey eaton within product domain work technician respons mainten troubleshoot product equip
78,78,Dunn,production manager,production,4,8016324804,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen hi engdahl within product domain special technician ensur proper function product equip hi engdahl within product domain special technician ensur proper function product equip
79,79,Dunne,technician,production,3,8246300411,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello england product domain work technician focus maintain repair product equip hello england product domain work technician focus maintain repair product equip
80,80,Eaton,technician,production,3,5870272388,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey erilu within product domain special data scientist leverag data analysi drive insight improv hey erilu within product domain special data scientist leverag data analysi drive insight improv
81,81,Engdahl,technician,production,5,2921180162,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi estremera within product domain work technician focus maintain repair product equip hi estremera within product domain work technician focus maintain repair product equip
82,82,England,technician,production,3,7662452655,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello evensen within product domain work technician respons mainten troubleshoot product equip hello evensen within product domain work technician respons mainten troubleshoot product equip
83,83,Erilus,datascientist,production,1,3751021454,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey exantu softwar engin softwar engin domain develop maintain softwar solut meet busi need hey exantu softwar engin softwar engin domain develop maintain softwar solut meet busi need
84,84,Estremera,technician,production,4,4759862532,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi faller within product domain special data scientist use advanc analyt techniqu extract insight product data hi faller within product domain special data scientist use advanc analyt techniqu extract insight product data
85,85,Evensen,technician,production,3,8675512447,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello fancett product domain special data scientist appli statist analysi machin learn algorithm optim product process hello fancett product domain special data scientist appli statist analysi machin learn algorithm optim product process
86,86,Exantus,software engineer,software engineering,5,4376800231,softwar develop program algorithm program python java web develop databas manag softwar design agil methodolog test debug version control softwar architectur problem solv data structur cloud comput rest api git hey ferguson within product domain work technician focus maintain repair product equip hey ferguson within product domain work technician focus maintain repair product equip
87,87,Faller,datascientist,production,5,4559132913,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi fernand product domain special technician ensur smooth oper product machineri equip hi fernand product domain special technician ensur smooth oper product machineri equip
88,88,Fancett,datascientist,production,4,1802588598,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello fett within domain work network engin respons design implement manag comput network hello fett within domain work network engin respons design implement manag comput network
89,89,Ferguson,technician,production,3,5116485642,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey fidelia product domain work technician focus mainten troubleshoot product equip hey fidelia product domain work technician focus mainten troubleshoot product equip
90,90,Fernandes,technician,production,5,4522513259,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi fitzpatrick within product domain special data scientist util data analysi techniqu improv product effici qualiti hi fitzpatrick within product domain special data scientist util data analysi techniqu improv product effici qualiti
91,91,Fett,network engineer,it/is,3,1451316104,network rout switch firew network secur cisco junip dn dhcp vpn wireless network network monitor network troubleshoot network protocol subnet load balanc ipv4 ipv6 ccna hello foreman product domain special data scientist analyz product data identifi trend optim process hello foreman product domain special data scientist analyz product data identifi trend optim process
92,92,Fidelia,technician,production,5,9034691192,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey forrest sale domain contribut devop engin focus develop mainten softwar solut hey forrest sale domain contribut devop engin focus develop mainten softwar solut
93,93,Fitzpatrick,datascientist,production,5,5835405663,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi foss within domain serv director overse plan implement strategi support busi object hi foss within domain serv director overse plan implement strategi support busi object
94,94,Foreman,datascientist,production,3,5312708338,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello admin offic domain work senior account manag financi report analysi hello admin offic domain work senior account manag financi report analysi
95,95,Forrest,devops,sales,5,6968989113,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hey fraval sale domain contribut devop engin focus optim sale process autom technolog hey fraval sale domain contribut devop engin focus optim sale process autom technolog
